rk,player,nation,squad,comp,season,age,born,ninety_mins_played,touches,def_pen_area_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_area_touches,live_ball_touches,take_ons_attempted,take_ons_successful,take_on_succ_pct,take_ons_tackled,take_on_tackled_pct,carries,total_distance_carried,progressive_carries_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position,age_range,general_position,country,continent
872,Álvaro Fernández,ESP,Brentford,Premier League,2021,23.0,1998.0,12.0,546,422,540,6,0,0,546,0,0,,0,,340,1672,890,0,0,0,1,0,280,0,GK,20-24,Goalkeeper,Spain,Europe
872,Álvaro Fernández,ESP,Brentford,Premier League,2021,23.0,1998.0,12.0,546,422,540,6,0,0,546,0,0,,0,,340,1672,890,0,0,0,1,0,280,0,GK,20-24,Goalkeeper,Spain,Europe
872,Álvaro Fernández,ESP,Brentford,Premier League,2021,23.0,1998.0,12.0,546,422,540,6,0,0,546,0,0,,0,,340,1672,890,0,0,0,1,0,280,0,GK,20-24,Goalkeeper,Spain,Europe
880,Fidel,ESP,Elche,La Liga,2021,31.0,1989.0,25.1,1361,37,236,638,506,49,1360,75,44,58.7,31,41.3,817,4238,2241,64,43,18,62,40,991,136,MF,30-34,Midfielder,Spain,Europe
901,Pablo Fornals,ESP,West Ham,Premier League,2021,25.0,1996.0,31.1,1731,33,262,819,665,65,1731,54,23,42.6,31,57.4,981,4917,2219,49,37,11,47,28,1184,200,"FW,MF",25-29,Forward,Spain,Europe
918,Enric Franquesa,ESP,Levante,La Liga,2021,24.0,1997.0,6.9,325,12,86,149,95,4,325,19,10,52.6,9,47.4,145,1043,503,17,13,3,10,8,179,36,"DF,FW",20-24,Defender,Spain,Europe
930,Jorge de Frutos,ESP,Levante,La Liga,2021,24.0,1997.0,19.6,754,16,128,279,362,77,754,76,36,47.4,40,52.6,421,2730,1566,60,31,21,51,16,475,153,"MF,FW",20-24,Midfielder,Spain,Europe
931,Leo Fuhr Hjelde,NOR,Leeds United,Premier League,2021,17.0,2003.0,1.7,130,9,55,60,16,1,130,0,0,,0,,59,178,89,1,1,0,2,0,63,4,"MF,DF",Under 20,Midfielder,Norway,Europe
943,Javi Galán,ESP,Celta Vigo,La Liga,2021,26.0,1994.0,36.6,2642,70,724,1190,764,40,2642,125,85,68.0,40,32.0,1482,9534,5404,123,83,15,70,37,1596,233,DF,25-29,Defender,Spain,Europe
944,Iñigo Ruiz de Galarreta,ESP,Mallorca,La Liga,2021,27.0,1993.0,15.3,925,35,176,587,169,5,925,35,26,74.3,9,25.7,455,2042,1069,14,24,1,20,15,556,16,MF,25-29,Midfielder,Spain,Europe
955,Álvaro García,ESP,Rayo Vallecano,La Liga,2021,28.0,1992.0,33.3,1393,40,248,419,741,154,1393,50,22,44.0,28,56.0,759,4974,2696,124,49,58,70,13,888,293,"FW,MF",25-29,Forward,Spain,Europe
