rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
1449,Gaëtan Laborde,FRA,Montpellier,Ligue 1,2021,27.0,1994.0,3.8,1,0,0,3,3,0,4,5,2,0,0,0,15,17,12,58.6,FW,25-29,Forward,France,Europe
1450,Gaëtan Laborde,FRA,Rennes,Ligue 1,2021,27.0,1994.0,30.3,1,0,0,31,20,21,33,8,7,0,0,0,79,87,119,42.2,FW,25-29,Forward,France,Europe
1451,Alexandre Lacazette,FRA,Arsenal,Premier League,2021,30.0,1991.0,19.8,0,0,0,32,29,6,7,5,10,4,0,0,52,21,47,30.9,FW,30-34,Forward,France,Europe
1453,Lenny Lacroix,FRA,Metz,Ligue 1,2021,18.0,2003.0,2.2,0,0,0,1,0,0,0,10,7,0,0,0,13,7,2,77.8,DF,Under 20,Defender,France,Europe
1454,Maxence Lacroix,FRA,Wolfsburg,Bundesliga,2021,21.0,2000.0,27.7,5,3,1,36,25,1,7,60,33,0,3,1,183,75,45,62.5,DF,20-24,Defender,France,Europe
1455,Alban Lafont,FRA,Nantes,Ligue 1,2021,22.0,1999.0,38.0,3,0,0,1,2,0,0,1,3,0,1,0,58,22,2,91.7,GK,20-24,Goalkeeper,France,Europe
1457,Konrad Laimer,AUT,RB Leipzig,Bundesliga,2021,24.0,1997.0,13.8,2,0,0,37,8,0,14,4,24,0,0,0,96,11,11,50.0,MF,20-24,Midfielder,Austria,Europe
1458,Stefan Lainer,AUT,Gladbach,Bundesliga,2021,28.0,1992.0,16.3,2,0,0,8,13,3,27,14,11,2,1,0,77,14,9,60.9,DF,25-29,Defender,Austria,Europe
1460,Adam Lallana,ENG,Brighton,Premier League,2021,33.0,1988.0,17.3,4,0,0,11,17,0,3,16,17,0,0,0,126,15,8,65.2,MF,30-34,Midfielder,England,Europe
1467,Tariq Lamptey,GHA,Brighton,Premier League,2021,20.0,2000.0,17.3,4,0,0,27,50,3,93,21,25,0,0,0,100,7,27,20.6,"DF,FW",20-24,Defender,Ghana,Africa
