player_id,Name,Height,Foot,Country_of_Birth,City_of_Birth,Continent_of_Birth
221611,Paulo Otávio,173.0,left,Brazil,Ourinhos,South America
222859,Florent Mollet,175.0,right,France,Fontaine-ls-Dijon,Europe
223572,Kai Pröger,177.0,right,Germany,Wilhelmshaven,Europe
223725,Munir El Haddadi,177.0,left,Spain,El Escorial,Europe
223967,Konrad Laimer,180.0,right,Austria,Salzburg,Europe
223974,Stefan Posch,190.0,right,Austria,Judenburg,Europe
223979,Xaver Schlager,174.0,left,Austria,Linz,Europe
225015,Carlos Akapo,179.0,right,Spain,Elche,Europe
225083,N'Golo Kanté,171.0,right,Unknown,Paris,
225122,Gonçalo Guedes,179.0,right,Portugal,Benavente,Europe
225161,Rúben Neves,180.0,right,Portugal,Santa Maria da Feira,Europe
225452,Patrick Roberts,167.0,left,England,Kingston-upon-Thames,Europe
225462,José Mari,182.0,right,Spain,Rota (Cdiz),Europe
225593,Pere Milla,180.0,left,Spain,Lleida,Europe
225657,Philipp Lienhart,189.0,right,Austria,Lilienfeld,Europe
225693,Fabinho,188.0,right,Brazil,Campinas,South America
225873,Karol Linetty,175.0,right,Poland,nin,Europe
226025,Luca Mazzitelli,184.0,right,Italy,Roma,Europe
226261,César de la Hoz,179.0,right,Spain,Orejo,Europe
226524,Morten Thorsby,188.0,right,Norway,Oslo,Europe
226973,Harrison Reed,181.0,right,England,Worthing,Europe
227081,Joaquín Correa,188.0,right,Argentina,Juan Bautista Alberdi,South America
227084,Benedikt Gimber,187.0,left,Germany,Buchen,Europe
227085,Jonas Hofmann,173.0,right,Germany,Bamberg,Europe
227961,Jaime Mata,186.0,right,Spain,Madrid,Europe
228761,Jony,179.0,left,Spain,Cangas de Narcea,Europe
228917,Jorge Miramón,175.0,right,Spain,Zaragoza,Europe
228948,Thilo Kehrer,186.0,both,Germany,Tbingen,Europe
229004,Moussa Dembélé,187.0,right,France,Pontoise,Europe
229005,Abdou Diallo,187.0,left,France,Tours,Europe
229006,Franck Honorat,180.0,right,France,Toulon,Europe
229804,Aritz Elustondo,180.0,right,Spain,Beasain,Europe
229853,Birama Touré,183.0,right,Mali,Kayes,Africa
230066,Adama Mbengue,182.0,left,Senegal,Rufisque,Africa
230784,Thomas Partey,185.0,right,Ghana,Odumase Krobo,Africa
230937,Fernandinho,174.0,left,Brazil,Limeira,South America
231025,Jordan Marié,177.0,right,France,Epinal,Europe
231289,Otávio,172.0,right,Brazil,Joo Pessoa,South America
231572,Nélson Semedo,177.0,right,Portugal,Lisboa,Europe
231586,Jannes Horn,186.0,left,Germany,Braunschweig,Europe
232320,Atakan Karazor,191.0,right,Germany,Essen,Europe
232418,Ondrej Duda,180.0,right,Slovakia,Snina,Europe
232454,Nadiem Amiri,180.0,right,Germany,Ludwigshafen am Rhein,Europe
232463,Luca Pfeiffer,196.0,right,Germany,Bad Mergentheim,Europe
232895,Zinedine Ferhat,180.0,right,Algeria,Bordj Menael,Africa
233124,Kortney Hause,191.0,left,England,Redbridge,Europe
233782,Aïssa Laïdouni,184.0,right,France,Montfermeil,Europe
234006,Keagan Dolly,170.0,left,South Africa,"Johannesburg, Gauteng",Africa
234029,Grischa Prömel,184.0,right,Germany,Stuttgart,Europe
234523,Antonio Sanabria,180.0,right,Paraguay,San Lorenzo,South America
