rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
109,Andreas Luthe,GER,Augsburg,Bundesliga,2018,31,1987,14.6,22,0,1,2,1,20.7,0.27,-0.3,-0.02,76,209,36.4,353,56,42.8,36.9,128,45.3,38.1,200,3,1.5,9,0.62,13.7,GK,30-34,Goalkeeper,Germany,Europe
110,Mike Maignan,FRA,Lille,Ligue 1,2018,23,1995,38.0,33,6,1,4,0,39.0,0.25,+6.0,+0.16,177,557,31.8,840,189,42.0,36.2,273,74.7,53.5,497,29,5.8,44,1.16,16.5,GK,20-24,Goalkeeper,France,Europe
111,Steve Mandanda,FRA,Marseille,Ligue 1,2018,33,1985,30.4,40,6,0,2,0,35.2,0.26,-4.8,-0.16,158,417,37.9,789,130,39.8,35.7,192,53.6,43.6,329,17,5.2,27,0.89,14.6,GK,30-34,Goalkeeper,France,Europe
112,Federico Marchetti,ITA,Genoa,Serie A,2018,35,1983,4.0,10,0,0,1,1,7.4,0.43,-1.6,-0.39,25,51,49.0,80,11,40.0,35.3,34,55.9,46.7,58,0,0.0,6,1.50,22.1,GK,35-39,Goalkeeper,Italy,Europe
114,Christian Mathenia,GER,Nürnberg,Bundesliga,2018,26,1992,21.5,40,2,1,6,2,31.5,0.25,-6.5,-0.30,170,473,35.9,665,92,47.7,39.0,218,71.6,53.5,462,9,1.9,10,0.47,9.6,GK,25-29,Goalkeeper,Germany,Europe
115,Alex McCarthy,ENG,Southampton,Premier League,2018,28,1989,25.0,44,2,0,4,3,37.3,0.30,-3.7,-0.15,139,447,31.1,478,82,60.3,42.8,189,84.1,57.6,375,15,4.0,17,0.68,11.6,GK,25-29,Goalkeeper,England,Europe
116,Edouard Mendy,SEN,Reims,Ligue 1,2018,26,1992,38.0,42,7,1,3,2,44.9,0.26,+4.9,+0.13,257,654,39.3,861,136,49.8,40.7,291,77.3,53.8,667,28,4.2,27,0.71,13.2,GK,25-29,Goalkeeper,Senegal,Africa
117,Alex Meret,ITA,Napoli,Serie A,2018,21,1997,12.8,9,2,0,1,0,10.0,0.17,+1.0,+0.07,29,100,29.0,252,42,21.0,28.8,99,47.5,40.3,190,2,1.1,8,0.63,12.9,GK,20-24,Goalkeeper,Italy,Europe
119,Antonio Mirante,ITA,Roma,Serie A,2018,35,1983,11.0,6,0,0,2,0,10.5,0.26,+4.5,+0.41,72,160,45.0,227,41,39.6,35.4,91,76.9,51.3,166,2,1.2,6,0.55,13.3,GK,35-39,Goalkeeper,Italy,Europe
120,Jessy Moulin,FRA,Saint-Étienne,Ligue 1,2018,32,1986,1.0,1,0,0,0,1,1.7,0.36,+1.7,+1.65,0,1,0.0,29,12,0.0,22.4,3,33.3,38.0,13,0,0.0,0,0.00,11.2,GK,30-34,Goalkeeper,France,Europe
